Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.48027E-4,7.681065057,0.401213686,0.639659367,0.072705602,0.107526882
1.49593E-4,7.755407394,0.403743674,0.638442822,0.072705602,0.107526882
1.55772E-4,8.014410172,0.413523934,0.634306569,0.073897497,0.107526882
1.60171E-4,8.251756039,0.420294364,0.630656934,0.075089392,0.107526882
1.61362E-4,8.524923012,0.422099625,0.626520681,0.075089392,0.11827957
1.64249E-4,8.753137214,0.426432344,0.623114355,0.076281287,0.11827957
1.64736E-4,9.032547571,0.427155815,0.618978102,0.076281287,0.11827957
1.65241E-4,9.346086105,0.427904747,0.614355231,0.076281287,0.129032258
1.66824E-4,9.512353231,0.430241245,0.611922141,0.076281287,0.129032258
1.72186E-4,9.783485663,0.43801249,0.608029197,0.081048868,0.129032258
1.73228E-4,10.059932832,0.439498014,0.603892944,0.089392133,0.139784946
1.75043E-4,10.321658346,0.442067208,0.600486618,0.091775924,0.150537634
1.7811E-4,10.515723807,0.446355473,0.597810219,0.094159714,0.150537634
1.81032E-4,11.02076693,0.450379702,0.590754258,0.096543504,0.150537634
1.82457E-4,11.293537961,0.452321629,0.587347932,0.10965435,0.161290323
1.84101E-4,11.826697291,0.454545071,0.580291971,0.110846246,0.161290323
1.86702E-4,12.105474546,0.458025975,0.576642336,0.110846246,0.161290323
1.887E-4,12.274488098,0.460668617,0.574452555,0.113230036,0.161290323
1.92036E-4,12.885979566,0.465025978,0.566666667,0.117997616,0.161290323
1.92053E-4,13.097220888,0.465048341,0.563990268,0.123957092,0.172043011
1.92979E-4,13.386348272,0.4662451,0.560097324,0.123957092,0.172043011
1.95674E-4,13.542136838,0.46969791,0.558394161,0.151370679,0.172043011
1.96354E-4,13.757446363,0.470561889,0.555717762,0.184743743,0.182795699
1.96876E-4,14.012938969,0.471223472,0.552554745,0.184743743,0.182795699
1.98669E-4,14.250600511,0.473482899,0.549635036,0.184743743,0.182795699
1.99953E-4,14.529584249,0.475089348,0.54622871,0.188319428,0.204301075
2.00947E-4,14.830851397,0.476325806,0.542579075,0.188319428,0.215053763
2.02541E-4,15.032687487,0.478297143,0.540145985,0.188319428,0.215053763
2.04094E-4,15.357802026,0.480202981,0.536253041,0.188319428,0.215053763
2.04164E-4,15.704768049,0.480289327,0.532116788,0.189511323,0.215053763
2.04627E-4,16.17541022,0.480854668,0.526277372,0.189511323,0.215053763
2.06726E-4,16.278205456,0.483402697,0.525304136,0.190703218,0.215053763
2.07191E-4,16.526434324,0.483963944,0.522384428,0.190703218,0.215053763
2.09176E-4,16.880826827,0.486345891,0.518248175,0.193087008,0.215053763
2.09505E-4,17.048308698,0.486738284,0.516301703,0.194278903,0.215053763
2.13134E-4,17.259728129,0.491029741,0.513868613,0.197854589,0.215053763
2.15114E-4,17.516824704,0.493340582,0.510948905,0.199046484,0.215053763
2.16114E-4,17.840995478,0.494499622,0.507055961,0.199046484,0.215053763
2.17007E-4,18.252424268,0.49553039,0.502676399,0.206197855,0.215053763
2.20093E-4,18.514818231,0.499060969,0.499756691,0.206197855,0.215053763
2.21799E-4,18.891638617,0.500990969,0.495620438,0.20738975,0.215053763
2.22281E-4,19.046970247,0.501533474,0.493917275,0.20738975,0.215053763
2.24602E-4,19.38324695,0.504130663,0.49026764,0.20738975,0.215053763
2.26748E-4,19.518617385,0.506507753,0.488807786,0.20977354,0.215053763
2.29322E-4,19.838400254,0.50932845,0.48540146,0.20977354,0.215053763
2.30968E-4,20.253160895,0.511115977,0.481021898,0.20977354,0.215053763
2.33125E-4,20.508052304,0.513438361,0.478345499,0.213349225,0.215053763
2.34393E-4,21.093659406,0.51479335,0.472262774,0.213349225,0.215053763
2.3696E-4,21.25913096,0.517514085,0.470559611,0.21454112,0.215053763
2.3696E-4,21.543483361,0.517514085,0.467396594,0.21454112,0.215053763
2.37971E-4,22.138182121,0.518576564,0.461313869,0.227651967,0.225806452
2.39183E-4,22.257436971,0.519845193,0.460340633,0.230035757,0.258064516
2.39291E-4,22.544578221,0.519957538,0.457420925,0.234803337,0.258064516
2.41944E-4,22.760942472,0.522709127,0.455231144,0.235995232,0.258064516
2.43933E-4,23.027984425,0.524751166,0.452554745,0.238379023,0.258064516
2.45326E-4,23.395658323,0.526170776,0.4486618,0.239570918,0.258064516
2.45955E-4,23.518474757,0.526809532,0.447688564,0.257449344,0.290322581
2.4851E-4,24.138191688,0.529385223,0.441605839,0.25864124,0.290322581
2.48654E-4,24.709779732,0.529529323,0.436009732,0.259833135,0.301075269
