Latitude,Longitude,Pycnopodia_helianthoides logistic values
-3248323.652,2975707.36,0.6704694
-2133603.831,735051.7532,0.53933185
-1993015.305,1321436.149,0.5298763
-3446250.336,3111668.78,0.66444004
-2017384.987,1291079.905,0.42041987
-1869588.178,1220036.112,0.5965472
-1983278.768,1333808.691,0.6243985
-3678885.592,3009791.307,0.63702995
-1927791.091,1259800.374,0.4834027
-1836219.635,1330810.497,0.5411667
-2932908.913,3064215.874,0.30811253
-2959447.044,2963757.676,0.3507633
-2784625.711,3100947.941,0.40882453
-1874595.026,1259004.182,0.49497366
-2060679.272,1454467.613,0.6966107
-1876527.727,1348148.6,0.32200742
-3556896.306,2969714.866,0.5534572
-3888393.359,3129734.017,0.4755609
-1901359.723,-654448.1989,0.25462884
-1883141.507,-700380.4702,0.59149534
-3754492.392,3056158.368,0.45079684
-1980793.731,-571550.7776,0.19708578
-3876658.087,3080296.619,0.002048432
-1860779.409,-824294.9588,0.74141264
-1855240.169,1245982.775,0.5293852
-3028147.105,3087600.396,0.2523738
-2045341.893,-592984.8692,0.051960494
-1849552.79,1293164.742,0.5009411
-1943556.071,-566728.57,0.014549605
-1876143.219,-677277.5929,0.7349342
-2137237.529,707906.3555,0.718299
-1851148.695,1317366.819,0.439498
-2080638.874,849503.1696,0.6558402
-1839494.993,1324769.287,0.5695928
-3252530.4,3039847.256,0.65181893
-1917769.8,1402510.824,0.28418702
-2930777.6,3050292.118,0.45361868
-2112138.146,-390838.4825,0.021143522
-4019967.632,3137427.802,0.0014246299
-1839794.057,1233022.376,0.6602914
-2524302.671,2898852.27,0.0035870762
-2064498.257,-433522.2044,0.5939889
-1898920.707,-647054.5837,0.22190951
-2009514.868,-505219.8269,0.011565871
-1972896.976,-463808.0877,0.6496497
-3662998.944,3051559.47,0.63836664
-3034304.242,3102365.437,0.4089422
-2081129.878,1374388.44,0.0048682694
-1835978.31,1249409.213,0.5711999
-2067149.862,-398233.5339,0.0022233762
-2040847.096,-458553.6979,0.079020225
-1847283.391,-1213866.95,0.15871859
-1858817.582,1351219.213,0.35531434
-3184599.912,3091119.841,0.42041263
-1864604.666,1320377.706,0.55052984
-3149441.46,2979018.807,0.4685962
-2010377.43,-660879.7491,0.001230052
-1864225.337,1273345.317,0.3638689
-3492240.778,3017179.408,0.4669779
-3175595.845,3002274.421,0.6828131
-2954539.441,3005450.505,0.5875267
-2920115.255,3007862.624,0.50153345
-1850565.809,1201172.246,0.535195
-3427586.719,3075048.838,0.4226214
-2143219.012,-231305.3356,0.18819837
-2352290.854,2730914.458,0.60648996
-3042406.994,3189817.112,0.6665476
-2158525.461,-74642.69854,0.7306155
-1905740.462,1264819.964,0.61121076
-3213461.745,2951323.942,0.4923132
-1839931.276,1333988.772,0.5411667
-2115332.299,900315.2127,0.0011508153
-2069097.64,-612390.4391,0.20730396
-1886703.443,1370930.994,0.12840582
-1977579.883,-608346.6075,0.13856684
-1844640.21,1336938.505,0.51075006
-1838296.971,1331736.73,0.5411667
-1915036.209,1392277.307,0.22510034
-1872521.102,1254629.213,0.3922737
-1835691.466,1296879.235,0.54601395
-2225384.938,2314959.952,0.54896885
-2177510.542,-42401.03947,0.80112326
-1855165.986,1303258.051,0.42760605
-1826083.669,1262628.311,0.38227138
-2989382.563,3121706.185,0.47728255
-1868680.326,1238172.093,0.5287908
-2623906.23,3087048.737,0.70266277
-1954127.535,-511412.2558,0.459766
-1892713.42,1271977.988,0.61420894
-2109707.667,903117.6257,0.0011508153
-3996967.877,3177878.724,0.5766185
-3204669.328,3123731.288,0.53460467
-2986722.931,3108041.951,0.4156701
-3125311.513,3127783.224,0.26596737
-2053216.741,-532939.1837,0.16659985
-2236756.709,2405752.586,0.3189355
-2227705.975,139372.6669,0.42209962
-2231419.171,1940677.099,0.76061887
