Longitude,Latitude,Pycnopodia_helianthoides logistic values
-1829585.867,1282303.049,0.121318236
-1889331.677,1245507.157,0.056066982
-1848745.14,1294604.063,0.038889386
-1858242.261,1352578.25,0.026244093
-1863366.74,1361676.922,0.0042576334
-1901052.469,-675461.8076,5.4445793E-4
-2079011.71,1651278.22,0.06899699
-1877078.811,-672244.115,0.016596977
-2108121.936,1668089.061,0.035969816
-2319220.666,2333642.491,0.0033293925
-3299647.356,3065198.949,0.02614591
-2032667.079,1283949.792,0.03237579
-1947121.048,1443576.06,0.0586113
-1860438.792,1332593.809,0.017238395
-2137875.847,1931890.283,0.09855557
-3393722.537,3080192.727,0.06238016
-2249739.79,2393739.73,0.027127396
-1771650.028,-1125647.88,0.008036577
-2985495.575,3085459.268,0.03675724
-2981063.346,2958823.116,0.019155
-1965600.705,-557717.6909,0.004234253
-2077359.185,1682100.781,0.055852383
-1915111.901,-561220.4324,8.20035E-4
-2092609.72,-594082.4348,0.0012207166
-1862504.098,1355061.051,0.026244093
-2084346.656,1666259.156,0.053231366
-1835520.017,1293498.557,0.087881066
-1875109.512,1364747.663,0.009081046
-1870604.712,1359675.153,0.0042576334
-1995771.596,1128142.41,0.049169708
-1851034.776,1240435.635,0.14141132
-1872207.197,-808560.6985,0.0031082171
-1904682.342,1256355.627,0.08942275
-3082825.019,2920267.043,0.0048874444
-1873470.988,1379297.606,0.08200226
-2144743.475,-301340.1957,0.0011143072
-4041319.99,3177486.695,0.105373375
-1903625.651,-558510.3708,0.0012575526
-3189308.204,2909595.967,0.01433084
-2056436.692,-411005.0313,0.0011703961
-1892897.767,1234885.688,0.087815545
-2179513.941,-291028.4332,8.2653685E-4
-1866607.525,1299875.72,0.06484317
-1885767.957,1264108.554,0.15381242
-2255560.393,2315502.782,0.03316301
-1913634.818,1405361.078,0.1238322
-1842753.587,1249472.654,0.14141132
-1873896.137,1246811.294,0.04672818
-2289591.625,2532676.611,0.06976927
-2833263.382,3018658.938,0.01609422
-2768943.349,3091768.054,0.048866946
-1905651.33,-645054.8259,0.0011645424
-2062889.598,1633955.859,0.13963021
-4268882.792,3310692.094,0.04519468
-1880156.969,1262968.431,0.09603109
-2973819.188,3118347.455,0.058133688
-1890610.362,1271564.972,0.15381242
-3730596.33,3145456.655,0.23664513
-2186839.068,-16593.40443,0.052763004
-1935750.551,1409051.154,0.113626495
-1860437.027,-852557.3653,0.0063004694
-1883816.917,1239561.872,0.08646922
-2048348.43,-531036.4081,0.0019703417
-1905594.325,-588723.8712,1.1780037E-4
-1893264.283,1361367.054,0.07116783
-2007983.724,1180152.77,0.037033472
-1869330.935,1363201.27,0.0042576334
-1878533.277,-613807.7396,0.003804335
-1852133.59,1292868.805,0.0851362
-3502819.694,3046698.976,0.050422546
-1869056.95,-799431.6498,0.007197409
-1851508.061,1334754.958,0.07863267
-1847192.53,1328697.771,0.07863267
