Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
3.14158E-4,29.354512116,0.075104962,0.314982974,0.305660377,0.310344828
3.17605E-4,29.512303085,0.075866372,0.313564132,0.305660377,0.310344828
3.21444E-4,29.767722045,0.076713118,0.311293984,0.309433962,0.310344828
3.21444E-4,30.346321563,0.076713118,0.305902384,0.309433962,0.310344828
3.22537E-4,30.507409826,0.076953819,0.30476731,0.320754717,0.310344828
3.23742E-4,31.023589283,0.077219119,0.300227015,0.320754717,0.310344828
3.26488E-4,31.250483167,0.077823096,0.298240636,0.320754717,0.310344828
3.30326E-4,31.843846256,0.078666003,0.293132804,0.320754717,0.310344828
3.31444E-4,32.009267293,0.078911169,0.291713961,0.328301887,0.310344828
3.33441E-4,32.275177968,0.079348998,0.289443814,0.332075472,0.310344828
3.37675E-4,32.612072807,0.080275604,0.286606129,0.332075472,0.310344828
3.38511E-4,32.781156647,0.080458338,0.285187287,0.332075472,0.310344828
3.42106E-4,33.053635076,0.08124351,0.28291714,0.332075472,0.310344828
3.45587E-4,33.260090893,0.082002262,0.281214529,0.332075472,0.344827586
3.45612E-4,33.743914571,0.082007777,0.277241771,0.332075472,0.344827586
3.45667E-4,33.778481223,0.082019685,0.276958002,0.332075472,0.344827586
3.47405E-4,34.055897203,0.082398142,0.274687855,0.332075472,0.344827586
3.51022E-4,34.441163877,0.083184726,0.271566402,0.335849057,0.379310345
3.52903E-4,34.511742079,0.083593211,0.270998865,0.335849057,0.379310345
3.55821E-4,34.760188843,0.084226295,0.269012486,0.335849057,0.379310345
3.58897E-4,35.367989887,0.084892499,0.264188422,0.347169811,0.379310345
3.60023E-4,35.943892443,0.085136196,0.259364359,0.350943396,0.379310345
3.61138E-4,36.376830573,0.085377311,0.256242906,0.354716981,0.379310345
3.62084E-4,36.702651835,0.085581908,0.253405221,0.38490566,0.448275862
3.63442E-4,36.77532062,0.085875331,0.253121453,0.388679245,0.448275862
3.63997E-4,37.43038339,0.085995014,0.248013621,0.388679245,0.448275862
3.64409E-4,37.612422968,0.086084167,0.246594779,0.388679245,0.448275862
3.66793E-4,38.088534784,0.086598492,0.242905789,0.39245283,0.448275862
3.72749E-4,38.832285931,0.08788107,0.23723042,0.403773585,0.448275862
3.72749E-4,39.279584698,0.08788107,0.23354143,0.403773585,0.448275862
3.76462E-4,39.580096551,0.088678933,0.231555051,0.411320755,0.448275862
3.79262E-4,39.768779097,0.089279581,0.230136209,0.411320755,0.448275862
3.79924E-4,40.034542093,0.089421319,0.22814983,0.41509434,0.482758621
3.7993E-4,40.52845134,0.089422748,0.224177072,0.41509434,0.482758621
3.82687E-4,41.330442397,0.090013233,0.218501703,0.445283019,0.482758621
3.85111E-4,42.211351651,0.090531644,0.211975028,0.445283019,0.482758621
3.869E-4,42.250041623,0.090914006,0.21169126,0.445283019,0.482758621
3.92926E-4,42.523171662,0.092199525,0.209704881,0.445283019,0.482758621
3.93684E-4,42.837854433,0.092361041,0.207434733,0.445283019,0.482758621
3.94486E-4,43.035025544,0.092531678,0.206015891,0.445283019,0.482758621
3.97587E-4,43.272798559,0.093191369,0.20431328,0.445283019,0.482758621
3.98202E-4,44.029081418,0.093321939,0.19892168,0.449056604,0.482758621
3.99191E-4,44.268196145,0.093532022,0.197219069,0.449056604,0.482758621
