"","Species","Longitude","Latitude"
"136","Pycnopodia helianthoides",-2072824.05656652,-433290.234438446
"137","Pycnopodia helianthoides",-2075838.51372382,-435285.996533962
"138","Pycnopodia helianthoides",-2076490.83241761,-434828.588248379
"139","Pycnopodia helianthoides",-2071894.19143195,-448749.48059843
"140","Pycnopodia helianthoides",-2081257.86097461,-383848.63897657
"141","Pycnopodia helianthoides",-2099726.42442113,-380333.927006407
"142","Pycnopodia helianthoides",-2068493.81764256,-392339.191382915
"143","Pycnopodia helianthoides",-2068579.29598708,-392495.685608137
"144","Pycnopodia helianthoides",-2068819.27439456,-392098.314548521
"145","Pycnopodia helianthoides",-2112899.16012678,-425615.365279769
"146","Pycnopodia helianthoides",-2113284.26079397,-424871.019444126
"147","Pycnopodia helianthoides",-2112628.79177813,-430012.188453843
"148","Pycnopodia helianthoides",-2113376.15068982,-424046.781975087
"149","Pycnopodia helianthoides",-2112120.88869948,-425691.803729303
"150","Pycnopodia helianthoides",-2118813.39442883,-427227.985985256
"151","Pycnopodia helianthoides",-2119183.72712974,-426910.816746289
"152","Pycnopodia helianthoides",-2113266.07058509,-430088.644265896
"153","Pycnopodia helianthoides",-2098740.24212436,-448318.628107286
"154","Pycnopodia helianthoides",-2096958.78233549,-448666.097071727
"155","Pycnopodia helianthoides",-2071894.19143195,-448749.48059843
"156","Pycnopodia helianthoides",-2107794.43638143,-379689.625396377
"157","Pycnopodia helianthoides",-2107302.7697894,-380049.905982083
"158","Pycnopodia helianthoides",-1983355.55768805,-464917.670696712
"159","Pycnopodia helianthoides",-1981770.80141765,-464538.482114671
"160","Pycnopodia helianthoides",-2068080.52597032,-436931.823388226
"161","Pycnopodia helianthoides",-2068169.65863201,-436643.842297451
"162","Pycnopodia helianthoides",-2057917.6132006,-442705.281801148
"163","Pycnopodia helianthoides",-2058327.32757557,-442287.517874754
"164","Pycnopodia helianthoides",-2068431.48608979,-436393.461021854
"165","Pycnopodia helianthoides",-2058661.33903653,-441573.458934075
"166","Pycnopodia helianthoides",-2045672.52704123,-442876.865492947
"167","Pycnopodia helianthoides",-2048312.16384836,-449816.641698714
"168","Pycnopodia helianthoides",-2046810.49113246,-450290.361521608
"169","Pycnopodia helianthoides",-2098331.46687356,-448738.380826196
"170","Pycnopodia helianthoides",-2096559.35537656,-448492.641670071
"171","Pycnopodia helianthoides",-2075838.51372382,-435285.996533962
"172","Pycnopodia helianthoides",-2076490.83241761,-434828.588248379
"173","Pycnopodia helianthoides",-2096958.78233549,-448666.097071727
"174","Pycnopodia helianthoides",-2071927.91805212,-433714.881903779
"175","Pycnopodia helianthoides",-2072824.05656652,-433290.234438446
"176","Pycnopodia helianthoides",-2036143.04596053,-404429.939684403
"177","Pycnopodia helianthoides",-2061775.15476684,-396528.967889758
"178","Pycnopodia helianthoides",-2062721.15590346,-396070.898132352
"179","Pycnopodia helianthoides",-2081257.86097461,-383848.63897657
"180","Pycnopodia helianthoides",-2081889.28314653,-383434.528804981
"181","Pycnopodia helianthoides",-2050106.05399063,-442936.917302364
"182","Pycnopodia helianthoides",-2049819.35020564,-442735.240411235
"183","Pycnopodia helianthoides",-2056940.43568145,-448536.895365673
"184","Pycnopodia helianthoides",-2068819.27439456,-392098.314548521
"185","Pycnopodia helianthoides",-2068579.29598708,-392495.685608137
"186","Pycnopodia helianthoides",-2068493.81764256,-392339.191382915
"187","Pycnopodia helianthoides",-2070817.69997081,-434117.325825017
"188","Pycnopodia helianthoides",-2113284.26079397,-424871.019444126
"189","Pycnopodia helianthoides",-2113376.15068982,-424046.781975087
"190","Pycnopodia helianthoides",-2113284.26079397,-424871.019444126
"191","Pycnopodia helianthoides",-2071894.19143195,-448749.48059843
"192","Pycnopodia helianthoides",-2071534.97229839,-449046.511813307
"193","Pycnopodia helianthoides",-1981770.80141765,-464538.482114671
"194","Pycnopodia helianthoides",-2112120.88869948,-425691.803729303
"195","Pycnopodia helianthoides",-2107302.7697894,-380049.905982083
"196","Pycnopodia helianthoides",-2107794.43638143,-379689.625396377
"197","Pycnopodia helianthoides",-2099726.42442113,-380333.927006407
"198","Pycnopodia helianthoides",-2107302.7697894,-380049.905982083
"199","Pycnopodia helianthoides",-2112899.16012678,-425615.365279769
"200","Pycnopodia helianthoides",-2098740.24212436,-448318.628107286
"201","Pycnopodia helianthoides",-2098331.46687356,-448738.380826196
"202","Pycnopodia helianthoides",-2103805.28693349,-442477.634512251
"203","Pycnopodia helianthoides",-2103576.94687898,-443482.602783458
"204","Pycnopodia helianthoides",-2103576.94687898,-443482.602783458
"205","Pycnopodia helianthoides",-2103805.28693349,-442477.634512251
"206","Pycnopodia helianthoides",-2113266.07058509,-430088.644265896
"207","Pycnopodia helianthoides",-2112628.79177813,-430012.188453843
"208","Pycnopodia helianthoides",-2118813.39442883,-427227.985985256
"209","Pycnopodia helianthoides",-2119183.72712974,-426910.816746289
"210","Pycnopodia helianthoides",-2046810.49113246,-450290.361521608
"211","Pycnopodia helianthoides",-2046810.49113246,-450290.361521608
"212","Pycnopodia helianthoides",-2045672.52704123,-442876.865492947
"213","Pycnopodia helianthoides",-2053193.17082354,-449268.522124015
"214","Pycnopodia helianthoides",-2048312.16384836,-449816.641698714
"215","Pycnopodia helianthoides",-2056940.43568145,-448536.895365673
"216","Pycnopodia helianthoides",-2058661.33903653,-441573.458934075
"217","Pycnopodia helianthoides",-2068080.52597032,-436931.823388226
"218","Pycnopodia helianthoides",-2068431.48608979,-436393.461021854
"219","Pycnopodia helianthoides",-2068169.65863201,-436643.842297451
"220","Pycnopodia helianthoides",-2057917.6132006,-442705.281801148
"221","Pycnopodia helianthoides",-2058327.32757557,-442287.517874754
"222","Pycnopodia helianthoides",-2050106.05399063,-442936.917302364
"223","Pycnopodia helianthoides",-2049819.35020564,-442735.240411235
"224","Pycnopodia helianthoides",-2081257.86097461,-383848.63897657
"225","Pycnopodia helianthoides",-2081889.28314653,-383434.528804981
"226","Pycnopodia helianthoides",-2062721.15590346,-396070.898132352
"227","Pycnopodia helianthoides",-2061775.15476684,-396528.967889758
"228","Pycnopodia helianthoides",-2112899.16012678,-425615.365279769
"229","Pycnopodia helianthoides",-2113284.26079397,-424871.019444126
"230","Pycnopodia helianthoides",-2113376.15068982,-424046.781975087
"231","Pycnopodia helianthoides",-2113266.07058509,-430088.644265896
"232","Pycnopodia helianthoides",-2112628.79177813,-430012.188453843
"233","Pycnopodia helianthoides",-2112120.88869948,-425691.803729303
"234","Pycnopodia helianthoides",-2118813.39442883,-427227.985985256
"235","Pycnopodia helianthoides",-2119183.72712974,-426910.816746289
"236","Pycnopodia helianthoides",-2096958.78233549,-448666.097071727
"237","Pycnopodia helianthoides",-2096559.35537656,-448492.641670071
"238","Pycnopodia helianthoides",-2068493.81764256,-392339.191382915
"239","Pycnopodia helianthoides",-2068819.27439456,-392098.314548521
"240","Pycnopodia helianthoides",-2068579.29598708,-392495.685608137
"241","Pycnopodia helianthoides",-2072824.05656652,-433290.234438446
"242","Pycnopodia helianthoides",-2070817.69997081,-434117.325825017
"243","Pycnopodia helianthoides",-2075838.51372382,-435285.996533962
"244","Pycnopodia helianthoides",-2071534.97229839,-449046.511813307
"245","Pycnopodia helianthoides",-2076490.83241761,-434828.588248379
"246","Pycnopodia helianthoides",-2098331.46687356,-448738.380826196
"247","Pycnopodia helianthoides",-2103805.28693349,-442477.634512251
"248","Pycnopodia helianthoides",-2103805.28693349,-442477.634512251
"249","Pycnopodia helianthoides",-2103576.94687898,-443482.602783458
"250","Pycnopodia helianthoides",-2107794.43638143,-379689.625396377
"251","Pycnopodia helianthoides",-2099726.42442113,-380333.927006407
"252","Pycnopodia helianthoides",-2107302.7697894,-380049.905982083
"253","Pycnopodia helianthoides",-1955263.60987189,-503068.523955444
"254","Pycnopodia helianthoides",-1885968.77987719,-644259.382138522
"255","Pycnopodia helianthoides",-1885968.77987719,-644259.382138522
"256","Pycnopodia helianthoides",-2060769.15294485,-449330.30054263
"257","Pycnopodia helianthoides",-2059440.7227937,-454928.289258257
"258","Pycnopodia helianthoides",-1909841.42604903,-536929.657423784
"259","Pycnopodia helianthoides",-1955562.9768367,-503182.389607309
"260","Pycnopodia helianthoides",-1955562.9768367,-503182.389607309
"261","Pycnopodia helianthoides",-2064204.46111216,-437535.393973562
"262","Pycnopodia helianthoides",-2071994.42749301,-433691.74475276
"263","Pycnopodia helianthoides",-2068422.11100894,-433359.07248618
"264","Pycnopodia helianthoides",-2063032.11271185,-437732.029357417
"265","Pycnopodia helianthoides",-2071983.71142776,-433790.919499911
"266","Pycnopodia helianthoides",-2073038.87181565,-433174.675933825
"267","Pycnopodia helianthoides",-2071792.61588942,-448353.912958517
"268","Pycnopodia helianthoides",-2060769.15294485,-449330.30054263
"269","Pycnopodia helianthoides",-1971192.71138615,-532120.693805012
"270","Pycnopodia helianthoides",-1976730.03366714,-545066.661523527
"271","Pycnopodia helianthoides",-1971215.77129471,-533609.059077664
"272","Pycnopodia helianthoides",-1886047.85203544,-644163.794609649
"273","Pycnopodia helianthoides",-2062547.82413053,-438175.280218525
"274","Pycnopodia helianthoides",-1886378.06535251,-649068.697249214
"275","Pycnopodia helianthoides",-2119169.81878949,-427030.339559997
"276","Pycnopodia helianthoides",-2048841.0888129,-442413.080961373
"277","Pycnopodia helianthoides",-2062547.82413053,-438175.280218525
"278","Pycnopodia helianthoides",-1955562.9768367,-503182.389607309
"279","Pycnopodia helianthoides",-2058584.18552296,-441838.890608995
"280","Pycnopodia helianthoides",-2062547.82413053,-438175.280218525
"281","Pycnopodia helianthoides",-2068905.21060098,-435804.257735846
"282","Pycnopodia helianthoides",-1958904.21907954,-550649.629685109
"283","Pycnopodia helianthoides",-1969985.77523627,-534885.834118888
"284","Pycnopodia helianthoides",-1978177.72578847,-528717.123403987
"285","Pycnopodia helianthoides",-2035260.52657955,-452438.305741664
"286","Pycnopodia helianthoides",-2044014.99296374,-444408.574396452
"287","Pycnopodia helianthoides",-2059440.7227937,-454928.289258257
"288","Pycnopodia helianthoides",-2062364.51226516,-449966.918123945
"289","Pycnopodia helianthoides",-2058654.86689903,-448825.839033752
"290","Pycnopodia helianthoides",-2057619.55208043,-448640.721068377
"291","Pycnopodia helianthoides",-2062364.51226516,-449966.918123945
"292","Pycnopodia helianthoides",-2061645.84741207,-449567.634037521
"293","Pycnopodia helianthoides",-1880927.60167952,-625818.387330158
"294","Pycnopodia helianthoides",-1886163.82553098,-643546.806431334
"295","Pycnopodia helianthoides",-1886163.82553098,-643546.806431334
"296","Pycnopodia helianthoides",-2119169.81878949,-427030.339559997
"297","Pycnopodia helianthoides",-2035850.96916412,-451260.380153348
"298","Pycnopodia helianthoides",-1955562.9768367,-503182.389607309
"299","Pycnopodia helianthoides",-2061958.54059206,-438739.324573523
"300","Pycnopodia helianthoides",-2068905.21060098,-435804.257735846
"301","Pycnopodia helianthoides",-2059440.7227937,-454928.289258257
"302","Pycnopodia helianthoides",-2060769.15294485,-449330.30054263
"303","Pycnopodia helianthoides",-2062364.51226516,-449966.918123945
"304","Pycnopodia helianthoides",-2071792.61588942,-448353.912958517
"305","Pycnopodia helianthoides",-2057619.55208043,-448640.721068377
"306","Pycnopodia helianthoides",-2068964.13263882,-435645.722022366
"307","Pycnopodia helianthoides",-2069555.3372548,-435126.300446487
"308","Pycnopodia helianthoides",-2067939.22718418,-437228.369176996
"309","Pycnopodia helianthoides",-2062942.95823809,-437772.927807145
"310","Pycnopodia helianthoides",-1886331.55187148,-645447.065409697
"311","Pycnopodia helianthoides",-2061958.54059206,-438739.324573523
"312","Pycnopodia helianthoides",-2062547.82413053,-438175.280218525
"313","Pycnopodia helianthoides",-2087461.93840119,-446121.991485216
"314","Pycnopodia helianthoides",-2017892.61814739,-521182.520394145
"315","Pycnopodia helianthoides",-2016774.84122147,-518842.004005818
"316","Pycnopodia helianthoides",-2016748.55718383,-518368.222142858
"317","Pycnopodia helianthoides",-1885968.77987719,-644259.382138522
"318","Pycnopodia helianthoides",-2083658.08350469,-446225.718677213
"319","Pycnopodia helianthoides",-2068579.29598708,-392495.685608137
"320","Pycnopodia helianthoides",-1955178.30469663,-503053.070700534
"321","Pycnopodia helianthoides",-1953881.28124503,-503577.464924243
"322","Pycnopodia helianthoides",-2067263.63927784,-437066.755882822
"323","Pycnopodia helianthoides",-2058684.69969308,-441593.993637195
"324","Pycnopodia helianthoides",-1949509.5335366,-507342.938460567
"325","Pycnopodia helianthoides",-2096693.77962266,-447961.057807012
"326","Pycnopodia helianthoides",-2077180.87026849,-385537.752063614
"327","Pycnopodia helianthoides",-2058684.69969308,-441593.993637195
"328","Pycnopodia helianthoides",-2062698.16108348,-438337.998921906
"329","Pycnopodia helianthoides",-1956978.06493765,-501530.392983652
"330","Pycnopodia helianthoides",-2061907.54424558,-396482.855190189
"331","Pycnopodia helianthoides",-2068579.29598708,-392495.685608137
"332","Pycnopodia helianthoides",-1955178.30469663,-503053.070700534
"333","Pycnopodia helianthoides",-1993974.67357542,-456895.834265317
"334","Pycnopodia helianthoides",-1987968.05551144,-459516.999168801
"335","Pycnopodia helianthoides",-1949509.5335366,-507342.938460567
"336","Pycnopodia helianthoides",-2067263.63927784,-437066.755882822
"337","Pycnopodia helianthoides",-2058684.69969308,-441593.993637195
"338","Pycnopodia helianthoides",-2058684.69969308,-441593.993637195
"339","Pycnopodia helianthoides",-1956978.06493765,-501530.392983652
"340","Pycnopodia helianthoides",-1957057.35361838,-499903.715027117
"341","Pycnopodia helianthoides",-2062698.16108348,-438337.998921906
